scenario,operation,metric,samples,mean,median,stddev,min,max
Sem criptografia,read,process_kernel_cpu_seconds,5,0.026718,0.023708,0.008782,0.018207,0.039485
LUKS,write,process_kernel_cpu_seconds,5,0.133086,0.112181,0.042610,0.099607,0.196902
LUKS,read,process_kernel_cpu_seconds,5,0.034824,0.034429,0.010384,0.021591,0.046216
VeraCrypt,write,process_kernel_cpu_seconds,5,0.159712,0.178922,0.036446,0.097676,0.186125
VeraCrypt,read,process_kernel_cpu_seconds,5,0.032419,0.029646,0.008172,0.024719,0.046038
gocryptfs,write,process_kernel_cpu_seconds,5,0.114459,0.114655,0.014034,0.098080,0.129100
gocryptfs,read,process_kernel_cpu_seconds,5,0.034395,0.031330,0.005575,0.029924,0.043250
Sem criptografia,write,process_cpu_seconds,5,0.083793,0.086475,0.009613,0.067324,0.092657
Sem criptografia,read,process_cpu_seconds,5,0.027245,0.023708,0.008720,0.018207,0.039485
LUKS,write,process_cpu_seconds,5,0.133890,0.112181,0.043286,0.100194,0.198901
LUKS,read,process_cpu_seconds,5,0.036420,0.036580,0.010323,0.023468,0.047159
VeraCrypt,write,process_cpu_seconds,5,0.162359,0.179932,0.036005,0.101005,0.188063
VeraCrypt,read,process_cpu_seconds,5,0.032800,0.029646,0.008484,0.024719,0.047017
gocryptfs,write,process_cpu_seconds,5,0.116082,0.116798,0.014538,0.099930,0.131041
gocryptfs,read,process_cpu_seconds,5,0.035998,0.035015,0.005330,0.030889,0.044255
